ProperName,BayerName,Cst,Constellation_Full,Vmag,ra_rad,dec_rad,pi_rad,mu_alpha_cosdec_rad_d,mu_delta_rad_d,HR,HIP
,Bet,Ara,Ara,2.85,4.560981458683737,-0.9691782595840397,2.4483093e-08,-1.1295727381908697e-10,-3.3502251365379026e-10,6461,85258
,Zet,Per,Perseus,2.85,1.0215934628594272,0.5564748060146388,2.1040915e-08,7.658795181388153e-11,-1.3167287382906495e-10,1203,18246
,Alp,Hyi,Hydrus,2.86,0.51820800733186,-1.0745979067435807,2.2025087e-07,3.499684467114039e-09,3.5533093068589404e-10,591,9236
Lang-Exster,Alp,Tuc,Tucana,2.86,5.840320949880699,-1.051726589499336,7.917008e-08,-9.38700165039463e-10,-5.235058612720082e-10,8502,110130
Alcyone,Eta,Tau,Taurus,2.87,0.9925879583681141,0.42071583622483155,3.922143e-08,2.5670901006593914e-10,-5.796526613019422e-10,1165,17702
Deneb Algedi,Del,Cap,Capricornus,2.87,5.703029524633505,-0.2814616726929743,4.085525e-07,3.473668455752651e-09,-3.938240087206006e-09,8322,107556
Fawaris,Del,Cyg,Cygnus,2.87,5.1704246155226645,0.7876791647401415,9.584767e-08,5.849620513756949e-10,6.458873024720061e-10,7528,97165
Tejat,Mu,Gem,Gemini,2.88,1.6709775898613919,0.392940812941718,6.826177e-08,7.484912656472755e-10,-1.4604804745375019e-09,2286,30343
Alniyat,Sig,Sco,Scorpius,2.89,4.281243390955025,-0.44667779594754303,2.268928e-08,-1.406988369544444e-10,-2.1609217600173161e-10,6084,80112
Áldu,Eps,Per,Perseus,2.89,1.0378325027661548,0.6983110005661843,2.477398e-08,1.8662506109240457e-10,-3.156432398845932e-10,1220,18532
,Gam,TrA,Triangulum Australe,2.89,4.009507715442572,-1.1986828346461094,8.600595e-08,-8.837479777761234e-10,-4.288659832073679e-10,5671,74946
Albaldah,Pi,Sgr,Sagittarius,2.89,5.016791402661146,-0.36692973843212495,3.1028076e-08,-1.8051926250758906e-11,-4.838181704707074e-10,7264,94141
Fang,Pi,Sco,Scorpius,2.89,4.183781157655189,-0.4557760266449886,2.7004123e-08,-1.515830866056373e-10,-3.561273391969569e-10,5944,78265
Cor Caroli,Alp,CVn,Canes Venatici,2.9,3.38607263010886,0.66877955646368,1.3773557e-07,-3.1203285463444143e-09,7.106618613717881e-10,4915,63125
Gomeisa,Bet,CMi,Canis Minor,2.9,1.9510651917123414,0.1446774771273909,9.778692e-08,-6.870350755435889e-10,-5.082413648099695e-10,2845,36188
Sadalsuud,Bet,Aqr,Aquarius,2.91,5.635487855894774,-0.09723500836092021,2.9428193e-08,2.4914312921084164e-10,-1.0897523126377252e-10,8232,106278
,Tau,Pup,Puppis,2.93,1.7886815486400685,-0.8833879238599631,8.6878615e-08,4.5607660733535e-10,-9.173298699926087e-10,2553,32768
,Gam,Per,Perseus,2.93,0.8063268602437178,0.9338637261717138,6.5013516e-08,6.7694723440345895e-12,-7.857897309153876e-11,915,14328
Matar,Eta,Peg,Pegasus,2.94,5.947218773979619,0.5274613190854587,7.378865e-08,1.7467893342646117e-10,-3.4073010798307434e-10,8650,112158
Algorab,Del,Crv,Corvus,2.95,3.2719093518431985,-0.288242767449025,1.8204754e-07,-2.7939337915604723e-09,-1.8415619470810961e-09,4757,60965
,Alp,Ara,Ara,2.95,4.589526647245603,-0.8705000971077081,5.9147272e-08,-4.4160851938437415e-10,-8.922430018941276e-10,6510,85792
Zaurak,Gam,Eri,Eridanus,2.95,1.038596714901361,-0.23576334199128346,7.776412e-08,8.172478671023719e-10,-1.5013627781053968e-09,1231,18543
Sadalmelik,Alp,Aqr,Aquarius,2.96,5.784822922503761,-0.00558202162040529,3.0203893e-08,2.4224092211496325e-10,-1.2463793198134275e-10,8414,109074
Mebsuta,Eps,Gem,Gemini,2.98,1.762486554650026,0.4386214074330172,1.871381e-08,-7.393325677700522e-11,-1.6406015327895594e-10,2473,32246
,Eps,Leo,Leo,2.98,2.556260300578652,0.4149394313515122,6.4092376e-08,-6.054032031596424e-10,-1.2224870644815408e-10,3873,47908
Almaaz,Eps,Aur,Auriga,2.99,1.3175878239471879,0.7648611126757398,7.4176496e-09,-1.1415188658568131e-11,-3.530744399045492e-11,1605,23416
Alnasl,Gam,Sgr,Sagittarius,2.99,4.737734402723667,-0.5309928657668996,1.6323676e-07,-7.157057819418531e-10,-2.401171660854622e-09,6746,88635
Okab,Zet,Aql,Aquila,2.99,4.997794846034291,0.24196737801314852,1.9043482e-07,-9.623269508676623e-11,-1.2684132886195008e-09,7235,93747
,Eps,Crv,Corvus,3.0,3.185773185061959,-0.39478984878520124,4.9741885e-08,-9.522391097275323e-10,1.3605312063991088e-10,4630,59316
Naga,Gam,Hya,Hydra,3.0,3.4859499990639917,-0.4044174415099681,1.181491e-07,9.157370529704829e-10,-5.554949364663679e-10,5020,64962
Tianguan,Zet,Tau,Taurus,3.0,1.4732530971277986,0.36900785833924327,3.5536843e-08,2.3626785828199155e-11,-2.663986469505377e-10,1910,26451
Alaybasan,Bet,Tri,Triangulum,3.0,0.5652336717507339,0.6106451888312532,1.246456e-07,1.979871558502352e-09,-5.189928797093186e-10,622,10064
Aldhanab,Gam,Gru,Grus,3.01,5.733090558528798,-0.6521391882183661,7.490372e-08,1.3017297113322984e-09,-1.7547534193752407e-10,8353,108085
